InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
540538,21934,SKULL SHOULDER BAG,3,09/01/2011 14:36,1.65,17841
540540,22551,PLASTERS IN TIN SPACEBOY,2,09/01/2011 15:10,1.65,17218
540541,85025C,PINK HEART SHAPE PHOTO FRAME,12,09/01/2011 15:13,1.65,15799
540541,22341,LOVE GARLAND PAINTED ZINC ,12,09/01/2011 15:13,1.65,15799
540543,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,09/01/2011 15:23,5.95,14395
540543,84849B,FAIRY SOAP SOAP HOLDER,4,09/01/2011 15:23,1.69,14395
540545,21985,PACK OF 12 HEARTS DESIGN TISSUES ,24,09/01/2011 15:35,0.29,13451
540545,22412,METAL SIGN NEIGHBOURHOOD WITCH ,5,09/01/2011 15:35,2.1,13451
540546,22366,DOORMAT AIRMAIL ,2,09/01/2011 15:56,7.95,12766
540550,22690,DOORMAT HOME SWEET HOME BLUE ,2,10/01/2011 09:11,7.95,12539
540550,85144,JARDIN ETCHED GLASS CHEESE DISH,2,10/01/2011 09:11,7.25,12539
540550,22111,SCOTTIE DOG HOT WATER BOTTLE,3,10/01/2011 09:11,4.95,12539
540550,22629,SPACEBOY LUNCH BOX ,12,10/01/2011 09:11,1.95,12539
540554,21955,DOORMAT UNION JACK GUNS AND ROSES,2,10/01/2011 09:55,7.95,18171
540566,22926,IVORY GIANT GARDEN THERMOMETER,1,10/01/2011 10:58,5.95,17811
540566,22966,GINGERBREAD MAN COOKIE CUTTER,2,10/01/2011 10:58,1.25,17811
540566,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,2,10/01/2011 10:58,2.1,17811
540595,21883,STARS GIFT TAPE ,24,10/01/2011 11:35,0.19,14321
540595,20749,ASSORTED COLOUR MINI CASES,2,10/01/2011 11:35,7.95,14321
540604,22050,PINK PAISLEY ROSE GIFT WRAP,25,10/01/2011 11:38,0.42,15326
540604,84247G,DECOUPAGE GREETING CARD ,12,10/01/2011 11:38,0.42,15326
540639,21880,RED RETROSPOT TAPE,12,10/01/2011 12:28,0.65,13107
540640,85099B,JUMBO BAG RED RETROSPOT,3,10/01/2011 12:36,1.95,14527
540642,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,10/01/2011 13:22,4.25,12681
540644,21179,NO JUNK MAIL METAL SIGN,12,10/01/2011 14:16,1.25,16303
540645,21617,4 LILY  BOTANICAL DINNER CANDLES,12,10/01/2011 14:20,1.25,14060
540647,84949,SILVER HANGING T-LIGHT HOLDER,6,10/01/2011 14:57,1.65,17406
540647,22666,RECIPE BOX PANTRY YELLOW DESIGN,4,10/01/2011 14:57,2.95,17406
540672,22972,CHILDREN'S SPACEBOY MUG,12,10/01/2011 15:51,1.65,15281
540680,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,2,10/01/2011 16:24,3.75,15311
540690,15060B,FAIRY CAKE DESIGN UMBRELLA,4,11/01/2011 08:45,3.75,13473
540692,22561,WOODEN SCHOOL COLOURING SET,12,11/01/2011 09:12,1.65,14320
540698,22349,DOG BOWL CHASING BALL DESIGN,30,11/01/2011 09:24,2.69,17450
540794,22460,EMBOSSED GLASS TEALIGHT HOLDER,1,11/01/2011 11:54,1.25,16034
540795,22625,RED KITCHEN SCALES,2,11/01/2011 12:00,8.5,13078
540798,20969,RED FLORAL FELTCRAFT SHOULDER BAG,6,11/01/2011 12:11,3.75,17365
540798,22147,FELTCRAFT BUTTERFLY HEARTS,6,11/01/2011 12:11,1.45,17365
540803,22966,GINGERBREAD MAN COOKIE CUTTER,5,11/01/2011 12:30,1.25,14669
540803,22191,IVORY DINER WALL CLOCK,2,11/01/2011 12:30,8.5,14669
540809,22566,FELTCRAFT HAIRBAND PINK AND PURPLE,12,11/01/2011 12:37,0.85,18095
540813,47566,PARTY BUNTING,3,11/01/2011 12:41,4.65,14669
540813,22208,WOOD STAMP SET THANK YOU,1,11/01/2011 12:41,1.65,14669
540813,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,11/01/2011 12:41,0.29,14669
540816,21741,COSY SLIPPER SHOES LARGE GREEN,2,11/01/2011 12:55,2.95,15518
540816,22729,ALARM CLOCK BAKELIKE ORANGE,2,11/01/2011 12:55,3.75,15518
540816,21137,BLACK RECORD COVER FRAME,1,11/01/2011 12:55,3.75,15518
540824,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,11/01/2011 13:31,2.55,12728
540827,22412,METAL SIGN NEIGHBOURHOOD WITCH ,4,11/01/2011 14:15,2.1,17569
540827,22371,AIRLINE BAG VINTAGE TOKYO 78,1,11/01/2011 14:15,4.25,17569
540827,37489C,GREEN/BLUE FLOWER DESIGN BIG MUG,2,11/01/2011 14:15,1.95,17569
540834,21844,RED RETROSPOT MUG,6,11/01/2011 14:50,2.95,14733
540834,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,24,11/01/2011 14:50,0.95,14733
540835,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,11/01/2011 15:00,0.85,12724
540839,22972,CHILDREN'S SPACEBOY MUG,6,11/01/2011 15:42,1.65,16791
540839,84879,ASSORTED COLOUR BIRD ORNAMENT,8,11/01/2011 15:42,1.69,16791
540849,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,12/01/2011 09:33,4.95,14270
540856,22848,BREAD BIN DINER STYLE PINK,1,12/01/2011 10:16,16.95,16655
540907,22607,WOODEN ROUNDERS GARDEN SET ,2,12/01/2011 11:52,9.95,13488
540907,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,12/01/2011 11:52,3.75,13488
540907,20969,RED FLORAL FELTCRAFT SHOULDER BAG,4,12/01/2011 11:52,3.75,13488
540907,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,12/01/2011 11:52,0.29,13488
540907,22084,PAPER CHAIN KIT EMPIRE,6,12/01/2011 11:52,2.95,13488
540915,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/01/2011 12:00,1.69,13267
540943,22947,WOODEN ADVENT CALENDAR RED,2,12/01/2011 12:31,16.95,17841
540943,79160,HEART SHAPE WIRELESS DOORBELL,1,12/01/2011 12:31,2.1,17841
540951,22059,CERAMIC STRAWBERRY DESIGN MUG,10,12/01/2011 13:10,1.49,13113
540953,22334,DINOSAUR PARTY BAG + STICKER SET,1,12/01/2011 13:16,1.65,14587
540953,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,1,12/01/2011 13:16,3.75,14587
540953,21918,SET 12 KIDS COLOUR  CHALK STICKS,2,12/01/2011 13:16,0.42,14587
540954,20752,BLUE POLKADOT WASHING UP GLOVES,1,12/01/2011 13:19,2.1,14606
540968,22784,LANTERN CREAM GAZEBO ,3,12/01/2011 13:40,4.95,17338
540968,22113,GREY HEART HOT WATER BOTTLE,8,12/01/2011 13:40,3.75,17338
540971,22631,CIRCUS PARADE LUNCH BOX ,12,12/01/2011 14:10,1.95,12383
540971,21243,PINK  POLKADOT PLATE ,8,12/01/2011 14:10,1.69,12383
540971,22543,MINI JIGSAW BAKE A CAKE ,24,12/01/2011 14:10,0.42,12383
540972,POST,POSTAGE,3,12/01/2011 14:13,18,12437
540976,85016,SET OF 6 VINTAGE NOTELETS KIT,6,12/01/2011 15:00,2.55,12652
540976,22551,PLASTERS IN TIN SPACEBOY,12,12/01/2011 15:00,1.65,12652
540976,22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,12,12/01/2011 15:00,1.25,12652
540979,22892,SET OF SALT AND PEPPER TOADSTOOLS,6,12/01/2011 15:06,1.25,15727
540979,22470,HEART OF WICKER LARGE,10,12/01/2011 15:06,2.95,15727
540981,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,12/01/2011 15:25,4.95,12868
540981,22180,RETROSPOT LAMP,1,12/01/2011 15:25,9.95,12868
540981,22179,SET 10 LIGHTS NIGHT OWL,2,12/01/2011 15:25,6.75,12868
540983,22090,PAPER BUNTING RETROSPOT,40,12/01/2011 15:36,2.55,15171
540984,72802C,VANILLA SCENT CANDLE JEWELLED BOX,3,12/01/2011 15:44,4.25,14167
540986,21623,VINTAGE UNION JACK MEMOBOARD,2,12/01/2011 16:14,9.95,15291
540992,84559A,3D SHEET OF DOG STICKERS,18,12/01/2011 16:57,0.85,17364
540992,21217,RED RETROSPOT ROUND CAKE TINS,1,12/01/2011 16:57,9.95,17364
540993,62086A,PINK RETRO BIG FLOWER BAG,6,13/01/2011 09:23,1.95,13284
540993,47580,TEA TIME DES TEA COSY,6,13/01/2011 09:23,2.55,13284
540993,21471,STRAWBERRY RAFFIA FOOD COVER,6,13/01/2011 09:23,3.75,13284
540994,85059,FRENCH ENAMEL WATER BASIN,8,13/01/2011 09:29,1.25,13089
540997,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,32,13/01/2011 09:55,0.42,17368
540999,22510,GINGHAM BABUSHKA DOORSTOP,24,13/01/2011 10:08,1.25,13694
540999,22701,PINK DOG BOWL,24,13/01/2011 10:08,0.85,13694
541003,85099F,JUMBO BAG STRAWBERRY,10,13/01/2011 10:35,1.95,15835
541004,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,13/01/2011 10:35,2.95,18190
541006,22795,SWEETHEART RECIPE BOOK STAND,4,13/01/2011 10:43,6.75,13993
541008,21084,SET/6 COLLAGE PAPER CUPS,3,13/01/2011 10:48,0.65,17848
541011,84879,ASSORTED COLOUR BIRD ORNAMENT,8,13/01/2011 11:26,1.69,15447
541012,21448,12 DAISY PEGS IN WOOD BOX,2,13/01/2011 11:48,1.65,17019
541018,82600,NO SINGING METAL SIGN,2,13/01/2011 12:03,2.1,14978
541086,22179,SET 10 LIGHTS NIGHT OWL,2,13/01/2011 12:32,6.75,16503
541086,21360,JOY LARGE WOOD LETTERS,1,13/01/2011 12:32,9.95,16503
541088,21068,VINTAGE BILLBOARD LOVE/HATE MUG,12,13/01/2011 12:41,1.25,15513
541091,22480,RED TEA TOWEL CLASSIC DESIGN,5,13/01/2011 12:53,1.25,16814
541091,85066,CREAM SWEETHEART MINI CHEST,2,13/01/2011 12:53,12.75,16814
541091,82482,WOODEN PICTURE FRAME WHITE FINISH,36,13/01/2011 12:53,2.1,16814
541094,82580,BATHROOM METAL SIGN,2,13/01/2011 13:36,0.55,13246
541094,84050,PINK HEART SHAPE EGG FRYING PAN,2,13/01/2011 13:36,1.65,13246
541094,84745B,BLUE HANGING GINGHAM EASTER HEN,6,13/01/2011 13:36,0.42,13246
541105,22386,JUMBO BAG PINK POLKADOT,200,13/01/2011 14:34,1.65,16029
541111,84846A,SCENTED CANDLE IN DIGITALIS TIN,6,13/01/2011 15:13,2.1,15687
541115,22311,OFFICE MUG WARMER BLACK+SILVER ,6,13/01/2011 15:34,2.95,12578
541115,22350,ILLUSTRATED CAT BOWL ,12,13/01/2011 15:34,2.55,12578
541120,22356,CHARLOTTE BAG PINK POLKADOT,10,14/01/2011 09:13,0.85,12490
541134,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,14/01/2011 10:20,1.95,15615
541138,20725,LUNCH BAG RED RETROSPOT,10,14/01/2011 10:42,1.65,12553
541138,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,14/01/2011 10:42,3.25,12553
541139,21164,HOME SWEET HOME METAL SIGN ,6,14/01/2011 11:05,2.95,15213
541139,22380,TOY TIDY SPACEBOY  ,5,14/01/2011 11:05,2.1,15213
541202,21931,JUMBO STORAGE BAG SUKI,10,14/01/2011 12:09,1.95,17581
541207,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,14/01/2011 12:27,2.95,17685
541214,21754,HOME BUILDING BLOCK WORD,3,14/01/2011 13:41,5.95,15570
541215,22112,CHOCOLATE HOT WATER BOTTLE,6,14/01/2011 13:42,4.95,14329
541216,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,2,14/01/2011 13:52,0.85,15311
541220,22483,RED GINGHAM TEDDY BEAR ,144,14/01/2011 14:11,2.55,14156
541223,85018D,YULETIDE IMAGES S/6 PAPER BOXES,1,14/01/2011 14:39,2.55,17954
541223,21288,STRIPEY CHOCOLATE NESTING BOXES,1,14/01/2011 14:39,2.95,17954
541238,22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,1,16/01/2011 10:42,1.25,16746
541238,22450,SILK PURSE BABUSHKA BLUE,1,16/01/2011 10:42,3.35,16746
541249,22616,PACK OF 12 LONDON TISSUES ,24,16/01/2011 13:18,0.29,13700
541253,84050,PINK HEART SHAPE EGG FRYING PAN,1,16/01/2011 13:51,1.65,17841
541256,22386,JUMBO BAG PINK POLKADOT,10,16/01/2011 14:36,1.95,13048
541256,22726,ALARM CLOCK BAKELIKE GREEN,2,16/01/2011 14:36,3.75,13048
541258,85130D,BEADED CRYSTAL HEART PINK LARGE,2,16/01/2011 15:30,1.65,13634
541258,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,2,16/01/2011 15:30,0.85,13634
541260,22470,HEART OF WICKER LARGE,2,16/01/2011 15:44,2.95,16059
541262,21464,DISCO BALL ROTATOR BATTERY OPERATED,1,16/01/2011 15:50,4.25,18069
541266,22367,CHILDRENS APRON SPACEBOY DESIGN,11,16/01/2011 16:25,1.95,15673
541267,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,17/01/2011 10:37,3.95,12779
541267,22783,SET 3 WICKER OVAL BASKETS W LIDS,8,17/01/2011 10:37,7.95,12779
541267,20803,SMALL PINK GLASS SUNDAE DISH,36,17/01/2011 10:37,0.42,12779
541268,22480,RED TEA TOWEL CLASSIC DESIGN,2,17/01/2011 10:52,1.25,12872
541270,21166,COOK WITH WINE METAL SIGN ,2,17/01/2011 11:09,1.95,14976
541271,22969,HOMEMADE JAM SCENTED CANDLES,24,17/01/2011 11:12,1.45,12388
541272,22721,SET OF 3 CAKE TINS SKETCHBOOK,3,17/01/2011 11:17,4.95,13527
541274,22937,BAKING MOULD CHOCOLATE CUPCAKES,6,17/01/2011 11:24,2.55,15696
541278,22112,CHOCOLATE HOT WATER BOTTLE,6,17/01/2011 11:53,4.95,14135
541282,22673,FRENCH GARDEN SIGN BLUE METAL,2,17/01/2011 12:31,1.25,17690
541285,22138,BAKING SET 9 PIECE RETROSPOT ,3,17/01/2011 12:45,4.95,13001
541289,20679,EDWARDIAN PARASOL RED,1,17/01/2011 13:23,5.95,14606
541292,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,17/01/2011 13:30,4.95,15596
541293,21242,RED RETROSPOT PLATE ,1,17/01/2011 13:39,1.69,15311
541370,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,17/01/2011 14:51,3.75,18179
541406,22937,BAKING MOULD CHOCOLATE CUPCAKES,1,17/01/2011 15:19,2.55,14657
541406,37448,CERAMIC CAKE DESIGN SPOTTED MUG,3,17/01/2011 15:19,1.49,14657
541417,22292,HANGING CHICK  YELLOW DECORATION,4,17/01/2011 16:23,1.45,16033
